Date,AMZN,DPZ,BTC,NFLX
2013-05-01,248.229996,51.190983,106.25,30.415714
2013-05-02,252.550003,51.98732,98.099998,30.641428
2013-05-03,258.049988,52.446388,112.900002,30.492857
2013-05-06,255.720001,53.205257,109.599998,30.098572
2013-05-07,257.730011,54.151505,113.199997,29.464285
2013-05-08,258.679993,54.385727,112.800003,29.801428
2013-05-09,260.160004,54.02034,117.699997,30.915714
2013-05-10,263.630005,54.35762,115.639999,31.098572
2013-05-13,264.51001,54.573097,111.400002,32.76857
2013-05-14,268.329987,55.275757,114.220001,33.424286
2013-05-15,266.559998,54.001606,118.209999,34.771427
2013-05-16,264.119995,53.364532,123.5,33.861427
2013-05-17,269.899994,53.93602,123.209999,34.142857
2013-05-20,267.630005,53.139683,122.889999,34.221428
2013-05-21,268.859985,53.355167,123.800003,33.869999
2013-05-22,262.959991,53.036613,126.300003,32.651428
2013-05-23,261.799988,55.472504,133.100006,32.311428
2013-05-24,261.73999,55.013439,131.990005,32.677143
2013-05-28,267.290009,55.894104,132.25,30.598572
2013-05-29,265.529999,55.538086,128.800003,30.762857
2013-05-30,266.829987,56.015888,128.820007,31.808571
2013-05-31,269.200012,55.528717,129.300003,32.32143
2013-06-03,266.880005,55.95031,121.400002,31.709999
2013-06-04,265.700012,56.381283,121.900002,32.187141
2013-06-05,267.170013,54.666786,118.970001,31.922857
2013-06-06,267.829987,55.697353,111.0,31.105715
2013-06-07,276.869995,56.70919,107.889999,31.459999
2013-06-10,281.070007,56.887188,109.0,31.561428
2013-06-11,274.779999,56.025265,108.779999,30.637142
2013-06-12,271.670013,55.865456,103.949997,29.662857
2013-06-13,275.790009,56.420074,100.0,30.77
2013-06-14,273.98999,56.015854,99.800003,30.57
2013-06-17,278.059998,55.97826,107.349998,32.747143
2013-06-18,281.76001,56.814877,108.25,32.689999
2013-06-19,278.160004,56.185055,111.290001,33.187141
2013-06-20,273.440002,54.079426,109.5,31.931429
2013-06-21,273.359985,54.051205,108.199997,30.985714
2013-06-24,270.609985,53.590603,103.330002,30.799999
